team1,team2,game_number,map_name,score1,team1_p1,team1_p2,team1_p3,team1_p4,team1_p5,team1_p6,team2_p1,team2_p2,team2_p3,team2_p4,team2_p5,team2_p6,
SFS,LDN,1,eichenwalde,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Bdosin,birdring,Fissure,Fury,NUS,Hooreg,
SFS,LDN,2,horizon-lunar-colony,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Bdosin,birdring,Fissure,Fury,NUS,Profit,
SFS,LDN,3,oasis,1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Bdosin,birdring,Fissure,Fury,NUS,Profit,
SFS,LDN,4,junkertown,-1,00,dhaK,sleepy,Danteh,BABYBAY,Nomy,Nevix,Bdosin,birdring,Fissure,Fury,NUS,Profit,
SHD,SEO,1,numbani,-1,00,Undead,Roshan,Diya,Xushu,Freefeel,Altering,tobi,ryujehong,Miro,Wekeed,XepheR,Bunny,
SHD,SEO,2,temple-of-anubis,-1,00,Undead,Roshan,Diya,Xushu,Freefeel,Altering,tobi,ryujehong,Miro,Wekeed,XepheR,Bunny,
SHD,SEO,3,oasis,-1,00,Undead,Roshan,Diya,Xushu,Freefeel,Altering,tobi,ryujehong,Miro,Wekeed,XepheR,Bunny,
SHD,SEO,4,dorado,1,00,Undead,Roshan,Diya,Xushu,Freefeel,Altering,tobi,ryujehong,Miro,Wekeed,XepheR,Bunny,
GLA,VAL,1,eichenwalde,2,00,Surefour,iRemiix,Bischu,Asher,Shaz,BigGoose,Fate,Soon,Envy,Agilities,Kariv,Unkoe,
GLA,VAL,2,horizon-lunar-colony,2,00,Hydration,Shaz,BigGoose,Bischu,Surefour,iRemiix,Fate,Soon,Envy,Agilities,Kariv,Unkoe,
GLA,VAL,3,ilios,-1,00,Asher,Hydration,Shaz,BigGoose,Bischu,iRemiix,Soon,Fate,Envy,Silkthread,Kariv,Unkoe,
